proc_i,ts,det_count,track_count,roi_x1,roi_y1,roi_x2,roi_y2,roi_source,roi_score,roi_iou_prev,pair_idx,jump_accepted
834,27.792633,1,1,,,,,none,0.0000,0.0000,,0
835,27.825967,2,2,298,70,492,214,pair,0.7260,0.0000,"(0, 1)",0
836,27.859300,2,2,298,70,492,214,pair,0.7237,0.9830,"(0, 1)",0
837,27.892633,2,2,297,70,493,214,pair,0.7216,0.9664,"(0, 1)",0
838,27.925967,2,2,296,69,494,214,pair,0.7198,0.9552,"(0, 1)",0
839,27.959300,2,2,295,68,494,214,pair,0.7187,0.9651,"(0, 1)",0
840,27.992633,1,2,295,68,494,214,single,0.0000,0.2060,,0
841,28.025967,2,2,295,68,494,213,track_fallback,0.7183,0.9700,"(0, 1)",0
842,28.059300,2,2,295,68,494,213,track_fallback,0.7183,0.9766,"(0, 1)",0
843,28.092633,2,2,295,68,494,213,track_fallback,0.7183,0.9766,"(0, 1)",0
844,28.125967,2,2,295,68,494,213,track_fallback,0.7183,0.9766,"(0, 1)",0
845,28.159300,2,2,295,68,494,213,track_fallback,0.7183,0.9766,"(0, 1)",0
846,28.192633,2,2,295,68,494,213,track_fallback,0.7183,0.9766,"(0, 1)",0
847,28.225967,2,2,295,68,494,213,track_fallback,0.7183,0.9766,"(0, 1)",0
848,28.259300,2,2,295,68,494,213,track_fallback,0.7183,0.9766,"(0, 1)",0
849,28.292633,2,2,295,68,494,213,track_fallback,0.7183,0.9766,"(0, 1)",0
850,28.325967,1,2,295,68,494,213,single,0.0000,0.2074,,0
851,28.359300,1,2,295,68,494,213,single,0.0000,0.2111,,0
852,28.392622,1,2,296,76,404,195,single,0.0000,0.2167,,1
853,28.425956,1,1,296,76,404,195,hold,0.0000,1.0000,,0
854,28.459289,1,1,296,76,404,195,hold,0.0000,1.0000,,0
855,28.492622,1,1,296,76,404,195,hold,0.0000,1.0000,,0
856,28.525956,1,1,296,76,404,195,hold,0.0000,1.0000,,0
857,28.559289,1,1,296,76,404,195,hold,0.0000,1.0000,,0
858,28.592622,1,1,296,76,404,195,hold,0.0000,1.0000,,0
859,28.625956,1,1,296,76,404,195,hold,0.0000,1.0000,,0
860,28.659289,1,1,296,76,404,195,hold,0.0000,1.0000,,0
861,28.692622,1,1,296,76,404,195,hold,0.0000,1.0000,,0
862,28.725956,1,1,296,76,404,195,hold,0.0000,1.0000,,0
863,28.759289,1,1,296,76,404,195,hold,0.0000,1.0000,,0
864,28.792622,1,1,296,76,404,195,hold,0.0000,1.0000,,0
865,28.825956,0,1,296,76,404,195,hold,0.0000,1.0000,,0
866,28.859289,0,1,296,76,404,195,hold,0.0000,1.0000,,0
867,28.892622,0,1,296,76,404,195,hold,0.0000,1.0000,,0
868,28.925956,0,1,296,76,404,195,hold,0.0000,1.0000,,0
869,28.959289,0,1,296,76,404,195,hold,0.0000,1.0000,,0
870,28.992622,0,1,296,76,404,195,hold,0.0000,1.0000,,0
871,29.025956,0,1,296,76,404,195,hold,0.0000,1.0000,,0
872,29.059289,0,1,296,76,404,195,hold,0.0000,1.0000,,0
873,29.092622,0,1,296,76,404,195,hold,0.0000,1.0000,,0
874,29.125956,0,1,296,76,404,195,hold,0.0000,1.0000,,0
875,29.159289,0,1,296,76,404,195,hold,0.0000,1.0000,,0
876,29.192622,0,1,296,76,404,195,hold,0.0000,1.0000,,0
877,29.225956,0,0,296,76,404,195,hold,0.0000,1.0000,,0
878,29.259289,0,0,296,76,404,195,hold,0.0000,1.0000,,0
879,29.292622,0,0,296,76,404,195,hold,0.0000,1.0000,,0
880,29.325956,0,0,296,76,404,195,hold,0.0000,1.0000,,0
881,29.359289,0,0,296,76,404,195,hold,0.0000,1.0000,,0
882,29.392622,0,0,296,76,404,195,hold,0.0000,1.0000,,0
883,29.425956,0,0,296,76,404,195,hold,0.0000,1.0000,,0
884,29.459289,0,0,296,76,404,195,hold,0.0000,1.0000,,0
885,29.492611,0,0,296,76,404,195,hold,0.0000,1.0000,,0
886,29.525944,0,0,296,76,404,195,hold,0.0000,1.0000,,0
887,29.559278,0,0,296,76,404,195,hold,0.0000,1.0000,,0
888,29.592611,0,0,296,76,404,195,hold,0.0000,1.0000,,0
889,29.625944,0,0,296,76,404,195,hold,0.0000,1.0000,,0
890,29.659278,1,1,296,76,404,195,hold,0.0000,1.0000,,0
891,29.692611,1,1,296,76,404,195,hold,0.0000,1.0000,,0
892,29.725944,1,1,296,76,404,195,hold,0.0000,1.0000,,0
893,29.759278,1,1,296,76,404,195,hold,0.0000,1.0000,,0
894,29.792611,1,1,296,76,404,195,hold,0.0000,1.0000,,0
895,29.825944,1,1,296,76,404,195,hold,0.0000,1.0000,,0
896,29.859278,0,1,296,76,404,195,hold,0.0000,1.0000,,0
897,29.892611,0,1,296,76,404,195,hold,0.0000,1.0000,,0
898,29.925944,0,1,296,76,404,195,hold,0.0000,1.0000,,0
899,29.959278,0,1,296,76,404,195,hold,0.0000,1.0000,,0
900,29.992611,0,1,296,76,404,195,hold,0.0000,1.0000,,0
901,30.025944,0,1,296,76,404,195,hold,0.0000,1.0000,,0
902,30.059278,0,1,296,76,404,195,hold,0.0000,1.0000,,0
