proc_i,ts,det_count,track_count,roi_x1,roi_y1,roi_x2,roi_y2,roi_source,roi_score,roi_iou_prev,pair_idx,jump_accepted
634,21.126033,1,1,,,,,none,0.0000,0.0000,,0
635,21.159367,2,2,371,94,469,217,pair,0.8215,0.0000,"(0, 1)",0
636,21.192700,2,2,371,94,470,217,pair,0.8176,0.9623,"(0, 1)",0
637,21.226033,2,2,372,95,471,216,pair,0.8117,0.9106,"(0, 1)",0
638,21.259367,2,2,374,96,472,215,pair,0.8156,0.8909,"(0, 1)",0
639,21.292700,2,2,376,96,473,214,pair,0.8162,0.8812,"(0, 1)",0
640,21.326033,2,2,379,97,474,213,pair,0.8228,0.8542,"(0, 1)",0
641,21.359367,2,2,381,97,475,212,pair,0.8249,0.8858,"(0, 1)",0
642,21.392700,2,2,383,96,476,211,pair,0.8258,0.8785,"(0, 1)",0
643,21.426033,2,2,384,95,477,210,pair,0.8235,0.8874,"(0, 1)",0
644,21.459367,2,2,385,95,478,209,pair,0.8212,0.9036,"(0, 1)",0
645,21.492700,2,2,387,95,479,208,pair,0.8231,0.9011,"(0, 1)",0
646,21.526033,2,2,387,95,481,209,pair,0.8210,0.9141,"(0, 1)",0
647,21.559367,2,2,388,95,482,210,pair,0.8221,0.9076,"(0, 1)",0
648,21.592700,2,2,389,95,483,210,pair,0.8223,0.9308,"(0, 1)",0
649,21.626033,2,2,390,94,484,210,pair,0.8259,0.9132,"(0, 1)",0
650,21.659367,2,2,391,94,486,210,pair,0.8217,0.9140,"(0, 1)",0
651,21.692700,2,2,392,94,488,210,pair,0.8148,0.9146,"(0, 1)",0
652,21.726022,2,2,392,94,490,210,pair,0.8111,0.9406,"(0, 1)",0
653,21.759356,2,2,392,94,491,210,pair,0.8086,0.9429,"(0, 1)",0
654,21.792689,2,2,392,94,492,211,pair,0.8068,0.9461,"(0, 1)",0
655,21.826022,2,2,392,94,493,211,pair,0.8046,0.9455,"(0, 1)",0
656,21.859356,2,2,392,94,494,211,pair,0.8030,0.9538,"(0, 1)",0
657,21.892689,2,2,392,94,495,211,pair,0.8045,0.9808,"(0, 1)",0
658,21.926022,2,2,392,94,496,210,pair,0.8046,0.9471,"(0, 1)",0
659,21.959356,2,2,392,93,495,210,pair,0.8097,0.9469,"(0, 1)",0
660,21.992689,3,3,404,93,498,209,pair,0.9095,0.5882,"(0, 2)",0
661,22.026022,3,3,412,93,500,208,pair,0.9044,0.6758,"(0, 2)",0
662,22.059356,2,3,404,91,500,209,pair,0.8019,0.7412,"(0, 1)",0
663,22.092689,2,3,398,90,502,210,pair,0.7957,0.7805,"(0, 1)",0
664,22.126022,2,3,394,90,506,210,pair,0.7848,0.8184,"(0, 1)",0
665,22.159356,2,3,390,89,509,210,pair,0.7812,0.8341,"(0, 1)",0
666,22.192689,2,3,387,89,512,211,pair,0.7778,0.8602,"(0, 1)",0
667,22.226022,2,3,385,89,514,211,pair,0.7761,0.8977,"(0, 1)",0
668,22.259356,2,3,383,88,516,212,pair,0.7739,0.8858,"(0, 1)",0
669,22.292689,2,3,381,87,517,212,pair,0.7711,0.9081,"(0, 1)",0
670,22.326022,2,3,379,87,518,212,pair,0.7683,0.9232,"(0, 1)",0
671,22.359356,2,3,377,86,520,213,pair,0.7658,0.8970,"(0, 1)",0
672,22.392689,2,3,376,85,521,213,pair,0.7636,0.9181,"(0, 1)",0
673,22.426022,2,3,374,84,523,213,pair,0.7609,0.9003,"(0, 1)",0
674,22.459356,2,3,373,83,524,213,pair,0.7593,0.9334,"(0, 1)",0
675,22.492689,2,3,372,82,525,213,pair,0.7577,0.9472,"(0, 1)",0
676,22.526022,2,2,370,81,526,213,pair,0.7557,0.9360,"(0, 1)",0
677,22.559356,2,2,368,81,526,213,pair,0.7543,0.9499,"(0, 1)",0
678,22.592689,2,2,366,81,526,213,pair,0.7537,0.9622,"(0, 1)",0
679,22.626022,2,2,364,81,526,213,pair,0.7533,0.9636,"(0, 1)",0
680,22.659356,2,2,363,81,525,213,pair,0.7532,0.9567,"(0, 1)",0
681,22.692689,2,2,361,82,524,213,pair,0.7526,0.9381,"(0, 1)",0
682,22.726022,2,2,360,82,523,213,pair,0.7534,0.9566,"(0, 1)",0
683,22.759356,2,2,359,82,522,213,pair,0.7540,0.9551,"(0, 1)",0
684,22.792689,2,2,359,82,521,213,pair,0.7546,0.9682,"(0, 1)",0
685,22.826011,2,2,359,83,520,213,pair,0.7554,0.9455,"(0, 1)",0
686,22.859344,2,2,359,85,519,213,pair,0.7555,0.9285,"(0, 1)",0
687,22.892678,2,2,359,86,518,212,pair,0.7551,0.9489,"(0, 1)",0
688,22.926011,2,2,359,86,517,212,pair,0.7561,0.9735,"(0, 1)",0
689,22.959344,2,2,359,86,516,212,pair,0.7571,0.9719,"(0, 1)",0
690,22.992678,2,2,359,86,516,212,pair,0.7578,0.9780,"(0, 1)",0
691,23.026011,2,2,359,86,516,212,pair,0.7592,0.9718,"(0, 1)",0
692,23.059344,2,2,360,86,515,211,pair,0.7612,0.9451,"(0, 1)",0
693,23.092678,2,2,361,86,514,210,pair,0.7636,0.9523,"(0, 1)",0
694,23.126011,2,2,362,86,513,210,pair,0.7658,0.9585,"(0, 1)",0
695,23.159344,2,2,363,86,512,209,pair,0.7685,0.9375,"(0, 1)",0
696,23.192678,2,2,364,85,511,209,pair,0.7715,0.9308,"(0, 1)",0
697,23.226011,2,2,366,85,509,208,pair,0.7754,0.9101,"(0, 1)",0
698,23.259344,2,2,367,85,507,207,pair,0.7790,0.8939,"(0, 1)",0
699,23.292678,2,2,368,85,504,207,pair,0.7826,0.9139,"(0, 1)",0
700,23.326011,2,2,369,85,500,206,pair,0.7862,0.8819,"(0, 1)",0
701,23.359344,2,2,369,86,497,206,pair,0.7896,0.9008,"(0, 1)",0
702,23.392678,2,2,370,88,494,205,pair,0.7941,0.8385,"(0, 1)",0
703,23.426011,2,2,371,90,490,204,pair,0.7988,0.8189,"(0, 1)",0
704,23.459344,2,2,372,91,486,203,pair,0.8040,0.8359,"(0, 1)",0
705,23.492678,2,2,373,92,484,203,pair,0.8063,0.8797,"(0, 1)",0
706,23.526011,2,2,375,93,482,202,pair,0.8176,0.8272,"(0, 1)",0
707,23.559344,2,2,377,94,480,201,pair,0.8300,0.8382,"(0, 1)",0
708,23.592678,2,2,379,94,478,200,pair,0.8386,0.8505,"(0, 1)",0
709,23.626011,2,2,380,94,476,199,pair,0.8454,0.8735,"(0, 1)",0
710,23.659344,2,2,381,94,475,199,pair,0.8479,0.9271,"(0, 1)",0
711,23.692678,2,2,382,94,474,199,pair,0.8560,0.9174,"(0, 1)",0
712,23.726011,2,2,383,94,473,200,pair,0.8537,0.9229,"(0, 1)",0
713,23.759344,2,2,384,94,473,201,pair,0.8559,0.9326,"(0, 1)",0
714,23.792678,2,2,384,94,473,202,pair,0.8612,0.9431,"(0, 1)",0
715,23.826011,2,2,385,94,472,202,pair,0.8659,0.9385,"(0, 1)",0
716,23.859344,2,2,385,94,472,202,pair,0.8649,0.9683,"(0, 1)",0
717,23.892678,2,2,385,94,472,202,pair,0.8612,0.9683,"(0, 1)",0
718,23.926000,2,2,385,94,472,202,pair,0.8602,0.9683,"(0, 1)",0
719,23.959333,1,2,386,95,466,201,single,0.0000,0.7490,,0
720,23.992667,1,2,387,96,462,199,single,0.0000,0.7705,,0
721,24.026000,1,2,387,96,458,198,single,0.0000,0.8330,,0
722,24.059333,1,2,387,96,455,197,single,0.0000,0.8278,,0
723,24.092667,1,2,386,96,453,196,single,0.0000,0.8463,,0
724,24.126000,1,2,385,96,451,195,single,0.0000,0.8590,,0
725,24.159333,1,2,385,95,449,194,single,0.0000,0.8759,,0
726,24.192667,1,2,385,95,448,193,single,0.0000,0.9250,,0
727,24.226000,1,2,385,95,448,193,single,0.0000,0.9644,,0
728,24.259333,1,2,385,95,447,193,single,0.0000,0.9191,,0
729,24.292667,2,2,384,94,454,196,pair,0.8330,0.6407,"(0, 1)",0
730,24.326000,3,3,383,94,460,196,pair,0.9081,0.7877,"(0, 2)",0
731,24.359333,3,3,383,95,463,196,pair,0.9091,0.8717,"(0, 2)",0
732,24.392667,3,3,383,95,465,196,pair,0.9102,0.9002,"(0, 2)",0
733,24.426000,3,3,383,95,466,196,pair,0.9109,0.9333,"(0, 2)",0
