proc_i,ts,det_count,track_count,roi_x1,roi_y1,roi_x2,roi_y2,roi_source,roi_score,roi_iou_prev,pair_idx,jump_accepted
0,0.000000,2,0,104,0,708,286,pair,0.4172,0.0000,"(0, 1)",0
1,0.026244,2,2,103,0,708,286,pair,0.4168,0.9916,"(0, 1)",0
2,0.059578,2,2,103,0,708,286,pair,0.4172,0.9983,"(0, 1)",0
3,0.092911,2,2,103,0,708,286,pair,0.4175,0.9983,"(0, 1)",0
4,0.126244,2,2,103,0,708,286,pair,0.4166,0.9932,"(0, 1)",0
5,0.159578,2,2,103,0,708,286,pair,0.4167,0.9932,"(0, 1)",0
6,0.192911,2,2,103,0,708,286,pair,0.4167,0.9932,"(0, 1)",0
7,0.226244,2,2,103,0,708,286,pair,0.4173,0.9967,"(0, 1)",0
8,0.259578,2,2,103,0,708,286,pair,0.4166,0.9967,"(0, 1)",0
9,0.292911,1,2,103,0,708,286,single,0.0000,0.0457,,0
10,0.326244,2,2,103,0,708,285,pair,0.4176,0.9914,"(0, 1)",0
11,0.359578,1,2,103,0,708,285,single,0.0000,0.0459,,0
12,0.392911,1,2,103,0,708,285,single,0.0000,0.0491,,0
13,0.426244,1,2,397,58,656,234,single,0.0000,0.0491,,1
14,0.459578,1,2,500,79,638,216,single,0.0000,0.1858,,1
15,0.492911,1,2,530,84,632,210,single,0.0000,0.4518,,0
16,0.526244,2,2,530,84,632,210,pair,0.4177,0.0748,"(0, 1)",0
17,0.559578,2,2,530,84,632,210,pair,0.4175,0.0748,"(0, 1)",0
18,0.592900,1,2,538,86,631,208,single,0.0000,0.6679,,0
19,0.626233,2,2,538,86,631,208,pair,0.4166,0.0655,"(0, 1)",0
20,0.659567,1,2,544,87,630,207,single,0.0000,0.7566,,0
21,0.692900,1,2,548,88,629,206,single,0.0000,0.8318,,0
22,0.726233,1,2,550,88,629,206,single,0.0000,0.9102,,0
23,0.759567,1,2,551,88,629,206,single,0.0000,0.9333,,0
24,0.792900,1,2,552,88,629,206,single,0.0000,0.9326,,0
25,0.826233,1,2,553,88,629,206,single,0.0000,0.9328,,0
26,0.859567,1,2,554,89,629,205,single,0.0000,0.9117,,0
27,0.892900,1,2,554,90,629,204,single,0.0000,0.9398,,0
28,0.926233,1,2,554,90,629,204,single,0.0000,0.9648,,0
29,0.959567,1,2,554,90,629,204,single,0.0000,0.9694,,0
30,0.992900,1,2,555,90,629,204,single,0.0000,0.9563,,0
31,1.026233,1,2,555,90,629,204,single,0.0000,0.9778,,0
32,1.059567,1,1,555,90,629,204,hold,0.0000,1.0000,,0
33,1.092900,1,1,555,90,629,204,hold,0.0000,1.0000,,0
34,1.126233,1,1,555,90,629,204,hold,0.0000,1.0000,,0
35,1.159567,1,1,555,90,629,204,hold,0.0000,1.0000,,0
36,1.192900,0,1,555,90,629,204,hold,0.0000,1.0000,,0
37,1.226233,1,1,555,90,629,204,hold,0.0000,1.0000,,0
38,1.259567,0,1,555,90,629,204,hold,0.0000,1.0000,,0
39,1.292900,0,1,555,90,629,204,hold,0.0000,1.0000,,0
40,1.326233,0,1,555,90,629,204,hold,0.0000,1.0000,,0
41,1.359567,0,1,555,90,629,204,hold,0.0000,1.0000,,0
42,1.392900,1,1,555,90,629,204,hold,0.0000,1.0000,,0
43,1.426233,1,1,555,90,629,204,hold,0.0000,1.0000,,0
44,1.459567,1,1,555,90,629,204,hold,0.0000,1.0000,,0
45,1.492900,1,1,555,90,629,204,hold,0.0000,1.0000,,0
46,1.526233,1,1,555,90,629,204,hold,0.0000,1.0000,,0
47,1.559567,1,1,555,90,629,204,hold,0.0000,1.0000,,0
48,1.592900,1,1,555,90,629,204,hold,0.0000,1.0000,,0
49,1.626233,1,1,555,90,629,204,hold,0.0000,1.0000,,0
50,1.659567,1,1,555,90,629,204,hold,0.0000,1.0000,,0
51,1.692900,1,1,555,90,629,204,hold,0.0000,1.0000,,0
52,1.726222,1,1,555,90,629,204,hold,0.0000,1.0000,,0
53,1.759556,1,1,555,90,629,204,hold,0.0000,1.0000,,0
54,1.792889,1,1,555,90,629,204,hold,0.0000,1.0000,,0
55,1.826222,1,1,555,90,629,204,hold,0.0000,1.0000,,0
56,1.859556,1,1,555,90,629,204,hold,0.0000,1.0000,,0
